"Zipcode","City","State","Lat","Long","Location"
"36745","JEFFERSON","AL",32.38,-87.89,"NA-US-AL-JEFFERSON"
"35085","JEMISON","AL",32.96,-86.74,"NA-US-AL-JEMISON"
"36749","JONES","AL",32.6,-86.88,"NA-US-AL-JONES"
"35087","JOPPA","AL",34.27,-86.54,"NA-US-AL-JOPPA"
"35573","KANSAS","AL",33.9,-87.55,"NA-US-AL-KANSAS"
"35468","KELLERMAN","AL",33.31,-87.32,"NA-US-AL-KELLERMAN"
"35089","KELLYTON","AL",32.97,-86.09,"NA-US-AL-KELLYTON"
"35574","KENNEDY","AL",33.58,-87.98,"NA-US-AL-KENNEDY"
"35645","KILLEN","AL",34.86,-87.52,"NA-US-AL-KILLEN"
"35091","KIMBERLY","AL",33.76,-86.8,"NA-US-AL-KIMBERLY"
"36453","KINSTON","AL",31.21,-86.16,"NA-US-AL-KINSTON"
"35754","LACEYS SPRING","AL",34.48,-86.62,"NA-US-AL-LACEYS SPRING"
"36862","LAFAYETTE","AL",32.89,-85.4,"NA-US-AL-LAFAYETTE"
"36863","LANETT","AL",32.86,-85.2,"NA-US-AL-LANETT"
"35755","LANGSTON","AL",34.53,-86.09,"NA-US-AL-LANGSTON"
"36046","LAPINE","AL",31.98,-86.27,"NA-US-AL-LAPINE"
"36793","LAWLEY","AL",32.86,-86.96,"NA-US-AL-LAWLEY"
"35094","LEEDS","AL",33.54,-86.56,"NA-US-AL-LEEDS"
"35983","LEESBURG","AL",34.17,-85.76,"NA-US-AL-LEESBURG"
"35646","LEIGHTON","AL",34.69,-87.53,"NA-US-AL-LEIGHTON"
"36548","LEROY","AL",31.5,-87.98,"NA-US-AL-LEROY"
"35647","LESTER","AL",34.98,-87.14,"NA-US-AL-LESTER"
"36047","LETOHATCHEE","AL",32.08,-86.51,"NA-US-AL-LETOHATCHEE"
"35648","LEXINGTON","AL",34.96,-87.37,"NA-US-AL-LEXINGTON"
"36549","LILLIAN","AL",30.41,-87.43,"NA-US-AL-LILLIAN"
"35096","LINCOLN","AL",33.59,-86.13,"NA-US-AL-LINCOLN"
"36748","LINDEN","AL",32.3,-87.79,"NA-US-AL-LINDEN"
"36266","LINEVILLE","AL",33.31,-85.75,"NA-US-AL-LINEVILLE"
"36550","LITTLE RIVER","AL",31.25,-87.7,"NA-US-AL-LITTLE RIVER"
"35470","LIVINGSTON","AL",32.59,-88.18,"NA-US-AL-LIVINGSTON"
"36865","LOACHAPOKA","AL",32.6,-85.59,"NA-US-AL-LOACHAPOKA"
"36455","LOCKHART","AL",31.01,-86.35,"NA-US-AL-LOCKHART"
"35097","LOCUST FORK","AL",33.9,-86.62,"NA-US-AL-LOCUST FORK"
"35098","LOGAN","AL",34.18,-87.04,"NA-US-AL-LOGAN"
"36048","LOUISVILLE","AL",31.78,-85.55,"NA-US-AL-LOUISVILLE"
"36751","LOWER PEACH TREE","AL",31.84,-87.54,"NA-US-AL-LOWER PEACH TREE"
"36752","LOWNDESBORO","AL",32.27,-86.61,"NA-US-AL-LOWNDESBORO"
"36551","LOXLEY","AL",30.62,-87.75,"NA-US-AL-LOXLEY"
"36049","LUVERNE","AL",31.7,-86.26,"NA-US-AL-LUVERNE"
"36062","PETREY","AL",31.84,-86.2,"NA-US-AL-PETREY"
"35575","LYNN","AL",34.04,-87.54,"NA-US-AL-LYNN"
"35111","MC CALLA","AL",33.28,-87.12,"NA-US-AL-MC CALLA"
"36553","MC INTOSH","AL",31.26,-88.02,"NA-US-AL-MC INTOSH"
"36456","MC KENZIE","AL",31.54,-86.71,"NA-US-AL-MC KENZIE"
"35471","MC SHAN","AL",33.38,-88.14,"NA-US-AL-MC SHAN"
"36753","MC WILLIAMS","AL",31.84,-87.08,"NA-US-AL-MC WILLIAMS"
"35756","MADISON","AL",34.7,-86.74,"NA-US-AL-MADISON"
"35757","MADISON","AL",34.7,-86.74,"NA-US-AL-MADISON"
"35758","MADISON","AL",34.7,-86.74,"NA-US-AL-MADISON"
"36754","MAGNOLIA","AL",32.13,-87.66,"NA-US-AL-MAGNOLIA"
"36555","MAGNOLIA SPRINGS","AL",30.4,-87.77,"NA-US-AL-MAGNOLIA SPRINGS"
"36556","MALCOLM","AL",31.19,-88.01,"NA-US-AL-MALCOLM"
"36750","MAPLESVILLE","AL",32.78,-86.87,"NA-US-AL-MAPLESVILLE"
"36051","MARBURY","AL",32.64,-86.54,"NA-US-AL-MARBURY"
"35112","MARGARET","AL",33.68,-86.47,"NA-US-AL-MARGARET"
"36756","MARION","AL",32.63,-87.31,"NA-US-AL-MARION"
"36759","MARION JUNCTION","AL",32.44,-87.28,"NA-US-AL-MARION JUNCTION"
"36013","CECIL","AL",32.3,-85.99,"NA-US-AL-CECIL"
"36052","MATHEWS","AL",32.13,-86.03,"NA-US-AL-MATHEWS"
